time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot
592174800,1.585,1.587,1.5775,1.5805,1.587246395023188,1.583118541760028,NaN,NaN,NaN,NaN
592434000,1.58,1.58,1.5735,1.574,1.5846176035297581,1.579378641378044,NaN,NaN,NaN,NaN
592520400,1.5735,1.5745,1.5685,1.5725,1.5811431019177458,1.575381975747751,NaN,NaN,NaN,NaN
592606800,1.5725,1.5755,1.545,1.55,1.575892076671332,1.5653873367713376,NaN,NaN,NaN,NaN
592693200,1.549,1.5505,1.5305,1.533,1.5675581642248442,1.5514909575705134,NaN,NaN,NaN,NaN
592779600,1.5335,1.5435,1.521,1.525,1.5576789025471147,1.5367639913836753,NaN,NaN,NaN,NaN
593038800,1.5215,1.5335,1.5165,1.529,1.5467781343389009,1.5276308822023372,NaN,NaN,NaN,NaN
593125200,1.529,1.54,1.524,1.5315,1.537666454087877,1.522986234969062,NaN,NaN,NaN,NaN
593211600,1.532,1.5345,1.5255,1.5325,1.529732338541718,1.5211428000003888,NaN,NaN,NaN,NaN
593298000,1.533,1.5335,1.52,1.5205,1.5232245798424806,1.5165115433654166,NaN,NaN,NaN,NaN
593384400,1.52,1.52,1.5045,1.5045,1.5160413530311538,1.5078881251169705,NaN,NaN,NaN,NaN
593643600,1.504,1.5205,1.504,1.52,1.5099495852643736,1.5055731316442469,NaN,NaN,NaN,NaN
593730000,1.521,1.5255,1.5155,1.5175,1.5060767673755928,1.505339757658374,NaN,NaN,NaN,NaN
593816400,1.5185,1.52,1.502,1.5045,1.5025240746505029,1.5036549760790572,NaN,1.5025240746505029,NaN,NaN
593902800,1.504,1.51,1.4885,1.498,1.498736640444225,1.4992842257557701,NaN,NaN,NaN,NaN
593989200,1.497,1.508,1.4925,1.4925,1.4960179354433338,1.494064197960283,1.4960179354433338,NaN,NaN,NaN
594252000,1.4935,1.511,1.4855,1.507,1.4934272333808258,1.495064752734522,NaN,1.4934272333808258,NaN,NaN
594338400,1.5075,1.511,1.495,1.4955,1.4920431858438468,1.4933699647460938,NaN,NaN,NaN,NaN
594424800,1.495,1.501,1.483,1.489,1.4896877468317413,1.4903978960020765,NaN,NaN,NaN,NaN
594511200,1.4895,1.4925,1.4845,1.4925,1.4873509506437779,1.4877255451397462,NaN,NaN,NaN,NaN
594597600,1.487,1.5237,1.487,1.504,1.4877368993934796,1.4907256184525213,NaN,NaN,NaN,NaN
594856800,1.503,1.504,1.487,1.4895,1.487552243847562,1.4902225549331303,NaN,NaN,NaN,NaN
594943200,1.489,1.505,1.4855,1.5025,1.4878774563054906,1.4931954038448436,NaN,NaN,NaN,NaN
595029600,1.503,1.5155,1.4765,1.482,1.4885248775580733,1.4888501002442824,NaN,NaN,NaN,NaN
595116000,1.4825,1.486,1.4725,1.4735,1.4868304882842565,1.4834305512614996,1.4868304882842565,NaN,NaN,NaN
595202400,1.474,1.4755,1.4555,1.4595,1.482463634827852,1.4728172468639942,NaN,NaN,NaN,NaN
595461600,1.458,1.4715,1.4545,1.4665,1.477015770816398,1.4670994821940524,NaN,NaN,NaN,NaN
595548000,1.467,1.467,1.4605,1.463,1.4713444419226396,1.4619888371880196,NaN,NaN,NaN,NaN
595634400,1.463,1.467,1.4405,1.442,1.4645501028680215,1.4529284996023182,NaN,NaN,NaN,NaN
595720800,1.442,1.459,1.4375,1.4475,1.4577551048728634,1.4460014757556627,NaN,NaN,NaN,NaN
595807200,1.448,1.4675,1.448,1.46,1.4529628052366734,1.4447795025449675,NaN,NaN,NaN,NaN
596066400,1.4585,1.4615,1.451,1.455,1.4488692266413294,1.445200073502074,NaN,NaN,NaN,NaN
596152800,1.455,1.4575,1.445,1.446,1.445416495574369,1.443314634595166,NaN,NaN,NaN,NaN
596239200,1.4465,1.4495,1.4375,1.439,1.4418589469957748,1.4387524697599052,NaN,NaN,NaN,NaN
596325600,1.439,1.4435,1.4355,1.4365,1.4384210406338787,1.4350592511404374,NaN,NaN,NaN,NaN
596412000,1.436,1.4445,1.4315,1.4375,1.4353313990323657,1.433318781977939,NaN,NaN,NaN,NaN
596671200,1.4365,1.455,1.436,1.455,1.4341642567843143,1.4384335539463442,NaN,1.4341642567843143,NaN,NaN
596757600,1.456,1.458,1.444,1.4495,1.4347808063878815,1.442061105369451,NaN,NaN,NaN,NaN
596844000,1.4495,1.458,1.448,1.4495,1.4368020926722256,1.445375175563376,NaN,NaN,NaN,NaN
596930400,1.4495,1.453,1.4475,1.452,1.4391424720093584,1.4475116992212902,NaN,NaN,NaN,NaN
597016800,1.4525,1.462,1.4395,1.4415,1.4416278872082928,1.446291714196087,NaN,NaN,NaN,NaN
597276000,1.441,1.446,1.4405,1.4455,1.4425802827025216,1.4457950949707012,NaN,NaN,NaN,NaN
597362400,1.445,1.4585,1.4445,1.458,1.4444291530631204,1.4491493548860779,NaN,NaN,NaN,NaN
597448800,1.4585,1.491,1.4555,1.4815,1.449507281110454,1.4610737987367273,NaN,NaN,NaN,NaN
597535200,1.4815,1.4815,1.461,1.4655,1.4550651140412556,1.4669675586586735,NaN,NaN,NaN,NaN
597621600,1.4655,1.4675,1.457,1.465,1.4595788407714434,1.4699797034443276,NaN,NaN,NaN,NaN
597880800,1.4655,1.471,1.463,1.4665,1.4640277285880037,1.4699247872288286,NaN,NaN,NaN,NaN
597967200,1.4665,1.4735,1.466,1.4725,1.467596436023705,1.472445816323014,NaN,NaN,NaN,NaN
598053600,1.473,1.474,1.4615,1.4665,1.4698620809300122,1.4727868441477,NaN,NaN,NaN,NaN
598140000,1.4665,1.481,1.463,1.4775,1.472223978569409,1.4760506153077046,NaN,NaN,NaN,NaN
598226400,1.4775,1.491,1.4715,1.482,1.4756681226735204,1.4798043486191292,NaN,NaN,NaN,NaN
598485600,1.484,1.491,1.477,1.49,1.4793444993310638,1.4860155620132842,NaN,NaN,NaN,NaN
598572000,1.49,1.5065,1.488,1.5035,1.484908090226973,1.4943252407441148,NaN,NaN,NaN,NaN
598658400,1.503,1.5045,1.4895,1.495,1.4901185027865427,1.4983131139414578,NaN,NaN,NaN,NaN
598744800,1.495,1.5,1.493,1.4955,1.4946699147647071,1.5004404525203021,NaN,NaN,NaN,NaN
598831200,1.496,1.501,1.496,1.4965,1.4987228849176801,1.5012651632394385,NaN,NaN,NaN,NaN
599176800,1.497,1.501,1.494,1.501,1.501887386507182,1.503803309073307,NaN,NaN,NaN,NaN
599263200,1.5015,1.52,1.501,1.514,1.506087732918348,1.509719799741302,NaN,NaN,NaN,NaN
599349600,1.515,1.518,1.5075,1.5155,1.5103135676503483,1.515094049950335,NaN,NaN,NaN,NaN
599436000,1.515,1.5155,1.4975,1.501,1.513301953043531,1.5144861956457127,NaN,NaN,NaN,NaN
599781600,1.501,1.5025,1.487,1.501,1.5134911801137267,1.51152350105834,1.5134911801137267,NaN,NaN,NaN
599868000,1.501,1.5225,1.4995,1.52,1.5147227590579695,1.5140339941186476,NaN,NaN,NaN,NaN
599954400,1.519,1.54,1.5125,1.5385,1.5174379776444318,1.523589515475614,NaN,1.5174379776444318,NaN,NaN
600040800,1.5385,1.5535,1.5285,1.549,1.5227936735958696,1.5359530145713707,NaN,NaN,NaN,NaN
600300000,1.5485,1.5635,1.541,1.5505,1.5307324612703845,1.5460130775513814,NaN,NaN,NaN,NaN
600386400,1.551,1.57,1.5455,1.5645,1.5401022491682832,1.5570958525533114,NaN,NaN,NaN,NaN
600472800,1.5645,1.571,1.549,1.5535,1.54928960672493,1.5619366813925117,NaN,NaN,NaN,NaN
600559200,1.5535,1.5605,1.548,1.558,1.5564762377811094,1.5660360180512398,NaN,NaN,NaN,NaN
600645600,1.559,1.575,1.556,1.5745,1.5636424708313228,1.5724881645247557,NaN,NaN,NaN,NaN
600904800,1.576,1.586,1.5735,1.582,1.571654301799681,1.5813066266107163,NaN,NaN,NaN,NaN
600991200,1.581,1.582,1.569,1.576,1.5784121400036981,1.5863883602766538,NaN,NaN,NaN,NaN
601077600,1.576,1.5935,1.572,1.5915,1.5852973899565197,1.592826172078753,NaN,NaN,NaN,NaN
601164000,1.59,1.5965,1.575,1.578,1.5911018779314379,1.5924173899881822,NaN,NaN,NaN,NaN
601250400,1.5785,1.579,1.5585,1.5605,1.592636646569559,1.585589777706127,1.592636646569559,NaN,NaN,NaN
601509600,1.561,1.5675,1.545,1.5485,1.5901119071383971,1.5731454494447519,NaN,NaN,NaN,NaN
601596000,1.548,1.564,1.542,1.562,1.5850636239970435,1.567059826703889,NaN,NaN,NaN,NaN
601682400,1.562,1.575,1.5595,1.563,1.580899135013022,1.5640948183956285,NaN,NaN,NaN,NaN
