time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1637298000,1.34811,1.34898,1.3481,1.3486799999999999,NaN,7.469501384860315e+307,NaN,NaN,NaN,NaN,NaN,7.469501384860315e+307,NaN,NaN,NaN,NaN
1637301600,1.3486799999999999,1.35011,1.34859,1.34972,9.399030916158425e+307,-1.1216880945400616e+308,NaN,NaN,NaN,NaN,9.399030916158425e+307,-1.1216880945400616e+308,NaN,NaN,NaN,NaN
1637305200,1.34972,1.35096,1.34899,1.3491,-7.365926430119795e+307,1.2993570946509218e+308,NaN,-7.365926430119795e+307,NaN,NaN,-7.365926430119795e+307,1.2993570946509218e+308,NaN,-7.365926430119795e+307,NaN,NaN
1637308800,1.3491,1.34974,1.34493,1.34499,1.1061343396588527e+308,NaN,1.1061343396588527e+308,NaN,NaN,NaN,1.1061343396588527e+308,NaN,1.1061343396588527e+308,NaN,NaN,NaN
1637312400,1.34499,1.3451,1.34192,1.34328,-1.281339713659063e+308,-9.183205788784358e+307,NaN,-1.281339713659063e+308,NaN,NaN,-1.281339713659063e+308,-9.183205788784358e+307,NaN,-1.281339713659063e+308,NaN,NaN
1637316000,1.34328,1.34335,1.34071,1.34313,NaN,7.196786438540918e+307,NaN,NaN,NaN,NaN,NaN,7.196786438540918e+307,NaN,NaN,NaN,NaN
1637319600,1.34313,1.3457,1.34227,1.345,9.055867955247825e+307,-1.080734744011254e+308,NaN,NaN,NaN,NaN,9.055867955247825e+307,-1.080734744011254e+308,NaN,NaN,NaN,NaN
1637323200,1.345,1.34552,1.34134,1.34201,-7.096993053247503e+307,1.251916966848592e+308,NaN,-7.096993053247503e+307,NaN,NaN,-7.096993053247503e+307,1.251916966848592e+308,NaN,-7.096993053247503e+307,NaN,NaN
1637326800,1.34201,1.3453,1.34137,1.34404,1.0657488639062773e+308,NaN,1.0657488639062773e+308,NaN,NaN,NaN,1.0657488639062773e+308,NaN,1.0657488639062773e+308,NaN,NaN,NaN
1637330400,1.34404,1.34682,1.34399,1.34518,-1.2345574087604106e+308,-8.847922702981016e+307,NaN,-1.2345574087604106e+308,NaN,NaN,-1.2345574087604106e+308,-8.847922702981016e+307,NaN,-1.2345574087604106e+308,NaN,NaN
1637334000,1.34518,1.3473,1.34393,1.34598,NaN,6.934028440900417e+307,NaN,NaN,NaN,NaN,NaN,6.934028440900417e+307,NaN,NaN,NaN,NaN
1637337600,1.34598,1.3474599999999999,1.3456299999999999,1.34738,8.725234032574399e+307,-1.0412766192298703e+308,NaN,NaN,NaN,NaN,8.725234032574399e+307,-1.0412766192298703e+308,NaN,NaN,NaN,NaN
1637341200,1.34738,1.34751,1.34498,1.34558,-6.837878558206584e+307,1.206208900028702e+308,NaN,-6.837878558206584e+307,NaN,NaN,-6.837878558206584e+307,1.206208900028702e+308,NaN,-6.837878558206584e+307,NaN,NaN
1637344800,1.34558,1.34586,1.34429,1.3447,1.0268378805306987e+308,NaN,1.0268378805306987e+308,NaN,NaN,NaN,1.0268378805306987e+308,NaN,1.0268378805306987e+308,NaN,NaN,NaN
1637348400,1.3447,1.34548,1.34457,1.34466,-1.1894831474260834e+308,-8.52488095753434e+307,NaN,-1.1894831474260834e+308,NaN,NaN,-1.1894831474260834e+308,-8.52488095753434e+307,NaN,-1.1894831474260834e+308,NaN,NaN
1637352000,1.34466,1.34504,1.34419,1.34428,NaN,6.680863859142635e+307,NaN,NaN,NaN,NaN,NaN,6.680863859142635e+307,NaN,NaN,NaN,NaN
1637355600,1.34428,1.34499,1.34348,1.34418,8.406671707163942e+307,-1.003259128813108e+308,NaN,NaN,NaN,NaN,8.406671707163942e+307,-1.003259128813108e+308,NaN,NaN,NaN,NaN
1637532000,1.34472,1.34503,1.34385,1.34452,-6.588224453085245e+307,1.1621696558446058e+308,NaN,-6.588224453085245e+307,NaN,NaN,-6.588224453085245e+307,1.1621696558446058e+308,NaN,-6.588224453085245e+307,NaN,NaN
1637535600,1.34452,1.3445799999999999,1.34301,1.34329,9.893475551342475e+307,NaN,9.893475551342475e+307,NaN,NaN,NaN,9.893475551342475e+307,NaN,9.893475551342475e+307,NaN,NaN,NaN
1637539200,1.34329,1.34486,1.34308,1.34376,-1.1460545681964674e+308,-8.213633615452655e+307,NaN,-1.1460545681964674e+308,NaN,NaN,-1.1460545681964674e+308,-8.213633615452655e+307,NaN,-1.1460545681964674e+308,NaN,NaN
1637542800,1.34376,1.3447,1.34283,1.3431,1.4548474556832133e+308,6.436942433221731e+307,1.4548474556832133e+308,NaN,NaN,NaN,1.4548474556832133e+308,6.436942433221731e+307,1.4548474556832133e+308,NaN,NaN,NaN
1637546400,1.3431,1.34387,1.34276,1.34347,NaN,-9.666296745347714e+307,NaN,NaN,NaN,NaN,NaN,-9.666296745347714e+307,NaN,NaN,NaN,NaN
1637550000,1.34347,1.3437,1.34272,1.34354,-9.663947194468478e+307,1.1197383048109084e+308,NaN,NaN,NaN,NaN,-9.663947194468478e+307,1.1197383048109084e+308,NaN,NaN,NaN,NaN
1637553600,1.34354,1.3446,1.34347,1.34446,7.573538665208658e+307,-1.4214405395624392e+308,7.573538665208658e+307,NaN,NaN,NaN,7.573538665208658e+307,-1.4214405395624392e+308,7.573538665208658e+307,NaN,NaN,NaN
1637557200,1.34446,1.34466,1.34388,1.3445799999999999,-1.1373112764289617e+308,NaN,NaN,-1.1373112764289617e+308,NaN,NaN,-1.1373112764289617e+308,NaN,NaN,-1.1373112764289617e+308,NaN,NaN
1637560800,1.3445799999999999,1.34467,1.34375,1.34376,1.3174548994927284e+308,9.442038930437053e+307,1.3174548994927284e+308,NaN,NaN,NaN,1.3174548994927284e+308,9.442038930437053e+307,1.3174548994927284e+308,NaN,NaN,NaN
1637564400,1.34376,1.34489,1.34277,1.34283,NaN,-7.399631380333044e+307,NaN,NaN,NaN,NaN,NaN,-7.399631380333044e+307,NaN,NaN,NaN,NaN
1637568000,1.34283,1.34353,1.3419,1.34222,-9.31111201785083e+307,1.111195780768951e+308,NaN,NaN,NaN,NaN,-9.31111201785083e+307,1.111195780768951e+308,NaN,NaN,NaN,NaN
1637571600,1.34222,1.34429,1.34191,1.34282,7.29702526972063e+307,-1.2872028581887914e+308,7.29702526972063e+307,NaN,NaN,NaN,7.29702526972063e+307,-1.2872028581887914e+308,7.29702526972063e+307,NaN,NaN,NaN
1637575200,1.34282,1.34416,1.3426,1.34386,-1.0957875163117971e+308,NaN,NaN,-1.0957875163117971e+308,NaN,NaN,-1.0957875163117971e+308,NaN,NaN,-1.0957875163117971e+308,NaN,NaN
1637578800,1.34386,1.34474,1.34305,1.3442,1.2693540124748056e+308,9.09730572705631e+307,1.2693540124748056e+308,NaN,NaN,NaN,1.2693540124748056e+308,9.09730572705631e+307,1.2693540124748056e+308,NaN,NaN,NaN
1637582400,1.3442,1.34495,1.34365,1.34453,NaN,-7.129467420157461e+307,NaN,NaN,NaN,NaN,NaN,-7.129467420157461e+307,NaN,NaN,NaN,NaN
1637586000,1.34453,1.34494,1.34337,1.3445,-8.97115901653419e+307,1.0706255094631624e+308,NaN,NaN,NaN,NaN,-8.97115901653419e+307,1.0706255094631624e+308,NaN,NaN,NaN,NaN
1637589600,1.3445,1.3445,1.339,1.34202,7.03060750604545e+307,-1.2402064871747044e+308,7.03060750604545e+307,NaN,NaN,NaN,7.03060750604545e+307,-1.2402064871747044e+308,7.03060750604545e+307,NaN,NaN,NaN
1637593200,1.34202,1.34219,1.33956,1.33998,-1.0557798078596448e+308,NaN,NaN,-1.0557798078596448e+308,NaN,NaN,-1.0557798078596448e+308,NaN,NaN,-1.0557798078596448e+308,NaN,NaN
