time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot
616194000,0.761,0.761,0.761,0.761,0.764236003940018,0.7626094341338789,NaN,NaN,NaN,NaN
616280400,0.7545,0.7545,0.7545,0.7545,0.7624615188310166,0.7598576310316282,NaN,NaN,NaN,NaN
616366800,0.7535,0.7535,0.7535,0.7535,0.7604252041177051,0.7573713302345658,NaN,NaN,NaN,NaN
616626000,0.7564,0.7564,0.7564,0.7564,0.7587353261813947,0.7555658861858799,NaN,NaN,NaN,NaN
616712400,0.7533,0.7533,0.7533,0.7533,0.7566911753997181,0.7536270737529875,NaN,NaN,NaN,NaN
616798800,0.7444,0.7444,0.7444,0.7444,0.7533512161548185,0.7493995604442543,NaN,NaN,NaN,NaN
616885200,0.7501,0.7501,0.7501,0.7501,0.7509230738475142,0.7472158785568802,NaN,NaN,NaN,NaN
616971600,0.749,0.749,0.749,0.749,0.7486958738913665,0.7458992586328033,NaN,NaN,NaN,NaN
617230800,0.7476,0.7476,0.7476,0.7476,0.7468007394594924,0.7455156177237187,NaN,NaN,NaN,NaN
617317200,0.7514,0.7514,0.7514,0.7514,0.7460794316465933,0.7462430302714942,NaN,0.7460794316465933,NaN,NaN
617403600,0.7563,0.7563,0.7563,0.7563,0.7467656502239247,0.7488883010855015,NaN,NaN,NaN,NaN
617490000,0.7564,0.7564,0.7564,0.7564,0.7479243860724797,0.7516721738830043,NaN,NaN,NaN,NaN
617576400,0.749,0.749,0.749,0.749,0.748402869483476,0.7515905435423896,NaN,NaN,NaN,NaN
617835600,0.7603,0.7603,0.7603,0.7603,0.7505058832663238,0.7542739953234608,NaN,NaN,NaN,NaN
617922000,0.7652,0.7652,0.7652,0.7652,0.7533604245155386,0.7583372576831243,NaN,NaN,NaN,NaN
618008400,0.769,0.769,0.769,0.769,0.7571860704441258,0.7639564131247853,NaN,NaN,NaN,NaN
618094800,0.7648,0.7648,0.7648,0.7648,0.7605700180289267,0.7665615277971176,NaN,NaN,NaN,NaN
618181200,0.7626,0.7626,0.7626,0.7626,0.7632898293573629,0.7671376665627843,NaN,NaN,NaN,NaN
618440400,0.761,0.766,0.7602,0.7634,0.7651948377806854,0.7669724279270245,NaN,NaN,NaN,NaN
618526800,0.7681,0.7681,0.7681,0.7681,0.7671543306907841,0.7682806342799269,NaN,NaN,NaN,NaN
618613200,0.7669,0.7669,0.7669,0.7669,0.7684384138363052,0.7690963667521709,NaN,NaN,NaN,NaN
618699600,0.7632,0.7632,0.7632,0.7632,0.7688931737715989,0.7683334730997209,0.7688931737715989,NaN,NaN,NaN
618786000,0.7588,0.7588,0.7588,0.7588,0.7682382133280863,0.7655818618556366,NaN,NaN,NaN,NaN
619045200,0.7603,0.7603,0.7603,0.7603,0.7672465522420974,0.7634673153147639,NaN,NaN,NaN,NaN
619131600,0.7553,0.7553,0.7553,0.7553,0.7649387076222453,0.7601454311675598,NaN,NaN,NaN,NaN
619218000,0.7555,0.7555,0.7555,0.7555,0.7624943776959017,0.7575893172161756,NaN,NaN,NaN,NaN
619304400,0.7553,0.7553,0.7553,0.7553,0.7600250932114466,0.7553452134879299,NaN,NaN,NaN,NaN
619390800,0.7585,0.7585,0.7585,0.7585,0.7583956827172595,0.7552777806138877,NaN,NaN,NaN,NaN
619650000,0.7605,0.7605,0.7605,0.7605,0.7574994971935783,0.7562220168023006,NaN,NaN,NaN,NaN
619736400,0.7663,0.7663,0.7663,0.7663,0.7580785007725757,0.7591615359760047,NaN,0.7580785007725757,NaN,NaN
619822800,0.7661,0.7661,0.7661,0.7661,0.7591190884870032,0.7616765828229501,NaN,NaN,NaN,NaN
619909200,0.7623,0.7623,0.7623,0.7623,0.7600180854111634,0.762701597186378,NaN,NaN,NaN,NaN
619995600,0.7581,0.7581,0.7581,0.7581,0.7602616190770781,0.7616974699680387,NaN,NaN,NaN,NaN
620254800,0.7601,0.7601,0.7601,0.7601,0.7605636920919534,0.7612428050112432,NaN,NaN,NaN,NaN
620341200,0.7675,0.7675,0.7675,0.7675,0.7617698199595374,0.7633719622258448,NaN,NaN,NaN,NaN
620427600,0.766,0.766,0.766,0.766,0.7630227199307733,0.7653276563965772,NaN,NaN,NaN,NaN
620514000,0.7628,0.7628,0.7628,0.7628,0.7639170747774774,0.7656882466749154,NaN,NaN,NaN,NaN
620600400,0.7586,0.7586,0.7586,0.7586,0.7639069234785454,0.7636693292237409,0.7639069234785454,NaN,NaN,NaN
620859600,0.759,0.7627,0.7588,0.7608,0.7636493696641767,0.7622891717623468,NaN,NaN,NaN,NaN
620946000,0.7585,0.7585,0.7585,0.7585,0.7626198719616799,0.7605822360284864,NaN,NaN,NaN,NaN
621032400,0.7613,0.7613,0.7613,0.7613,0.7619281645059492,0.7603320401552075,NaN,NaN,NaN,NaN
621118800,0.7642,0.7642,0.7642,0.7642,0.7618461216987807,0.7611173002090464,NaN,NaN,NaN,NaN
621205200,0.7644,0.7644,0.7644,0.7644,0.7621700933204663,0.762415944143581,NaN,0.7621700933204663,NaN,NaN
621464400,0.7628,0.7628,0.7628,0.7628,0.7624224533374069,0.7629084406686739,NaN,NaN,NaN,NaN
621550800,0.7652,0.7652,0.7652,0.7652,0.7630159283018203,0.7636562552072927,NaN,NaN,NaN,NaN
621637200,0.7758,0.7758,0.7758,0.7758,0.765129743362148,0.7675532031224301,NaN,NaN,NaN,NaN
621723600,0.7743,0.7743,0.7743,0.7743,0.7673496336476968,0.7710816326758779,NaN,NaN,NaN,NaN
621810000,0.7765,0.7765,0.7765,0.7765,0.7701956690741222,0.7747307231927586,NaN,NaN,NaN,NaN
